Time, Study Part, Sample, Trial Number, In progress, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
122.6078,A,40,2,True,0,0,0,0,0,0,1
122.619,A,40,2,True,0,0,0,0,0,0,1
122.6301,A,40,2,True,0,0,0,0,0,0,1
122.6412,A,40,2,True,0,0,0,0,0,0,1
122.6523,A,40,2,True,0,0,0,0,0,0,1
122.6634,A,40,2,True,0,0,0,0,0,0,1
122.6745,A,40,2,True,0,0,0,0,0,0,1
122.6856,A,40,2,True,0,0,0,0,0,0,1
122.6967,A,40,2,True,0,0,0,0,0,0,1
122.7078,A,40,2,True,0,0,0,0,0,0,1
122.7189,A,40,2,True,0,0,0,0,0,0,1
122.73,A,40,2,True,0,0,0,0,0,0,1
122.7411,A,40,2,True,0,0,0,0,0,0,1
122.7523,A,40,2,True,0,0,0,0,0,0,1
122.7634,A,40,2,True,0,0,0,0,0,0,1
122.7745,A,40,2,True,0,0,0,0,0,0,1
122.7856,A,40,2,True,0,0,0,0,0,0,1
122.7967,A,40,2,True,0,0,0,0,0,0,1
122.8078,A,40,2,True,0,0,0,0,0,0,1
122.8189,A,40,2,True,0,0,0,0,0,0,1
122.83,A,40,2,True,0,0,0,0,0,0,1
122.8411,A,40,2,True,0,0,0,0,0,0,1
122.8522,A,40,2,True,0,0,0,0,0,0,1
122.8633,A,40,2,True,0,0,0,0,0,0,1
122.8745,A,40,2,True,0,0,0,0,0,0,1
122.8856,A,40,2,True,0,0,0,0,0,0,1
122.8967,A,40,2,True,0,0,0,0,0,0,1
122.9078,A,40,2,True,0,0,0,0,0,0,1
122.9189,A,40,2,True,0,0,0,0,0,0,1
122.93,A,40,2,True,0,0,0,0,0,0,1
122.9411,A,40,2,True,0,0,0,0,0,0,1
122.9522,A,40,2,True,0,0,0,0,0,0,1
122.9633,A,40,2,True,0,0,0,0,0,0,1
122.9744,A,40,2,True,0,0,0,0,0,0,1
122.9855,A,40,2,True,0,0,0,0,0,0,1
122.9966,A,40,2,True,0,0,0,0,0,0,1
123.0078,A,40,2,True,0,0,0,0,0,0,1
123.0189,A,40,2,True,0,0,0,0,0,0,1
123.03,A,40,2,True,0,0,0,0,0,0,1
123.0411,A,40,2,True,0,0,0,0,0,0,1
123.0522,A,40,2,True,0,0,0,0,0,0,1
123.0633,A,40,2,True,0,0,0,0,0,0,1
123.0744,A,40,2,True,0,0,0,0,0,0,1
123.0855,A,40,2,True,0,0,0,0,0,0,1
123.0966,A,40,2,True,0,0,0,0,0,0,1
123.1077,A,40,2,True,0,0,0,0,0,0,1
123.1188,A,40,2,True,0,0,0,0,0,0,1
123.1299,A,40,2,True,0,0,0,0,0,0,1
123.1411,A,40,2,True,0,0,0,0,0,0,1
123.1522,A,40,2,True,0,0,0,0,0,0,1
123.1633,A,40,2,True,0,0,0,0,0,0,1
123.1744,A,40,2,True,0,0,0,0,0,0,1
123.1855,A,40,2,True,0,0,0,0,0,0,1
123.1966,A,40,2,True,0,0,0,0,0,0,1
123.2077,A,40,2,True,0,0,0,0,0,0,1
123.2188,A,40,2,True,0,0,0,0,0,0,1
123.2299,A,40,2,True,0,0,0,0,0,0,1
123.241,A,40,2,True,0,0,0,0,0,0,1
123.2521,A,40,2,True,0,0,0,0,0,0,1
123.2632,A,40,2,True,0,0,0,0,0,0,1
